,n_neighbors,leaf_size,avg_auc,std_dev_auc
0,97,66,0.003494628000829804,0.00020595112287849016
0,5,81,0.0011852242416959613,3.626864567066677e-05
0,138,33,0.0037979563142821744,0.0001307937664614867
0,107,66,0.003222056861953074,0.00015170846210438415
0,138,44,0.0037979563142821744,0.0001307937664614867
0,46,44,0.0017912520992429298,4.545486386419136e-05
0,97,88,0.003494628000829804,0.00020595112287849016
0,148,44,0.0037102915204038542,0.00016600731929660524
