,n_estimators,max_samples,max_features,avg_auc,std_dev_auc
0,522,10,0.2,0.01310628631485003,0.001239298498990103
0,1155,173,0.5,0.026675428868154022,0.004961877946275578
0,100,336,0.9,0.04408356479227554,0.008561449344653372
0,100,391,0.3,0.03588558261416263,0.005151183339804755
0,1366,10,0.2,0.018912876985143618,0.002481339038693009
0,311,391,0.1,0.02463514172473279,0.004555808325920371
0,100,10,0.8,0.093626864564895,0.022262386437287184
0,100,118,0.1,0.031184340512280365,0.00604195516574004
